fecha;NUMERO_NOC;FECHA_RECEPCION;FECHA_ING_RECEPCION;NUMERO_FOLIO;RUT_EMPRESARIO;DIGITO_VERIFICADOR;NOMBRE_EMPRESARIO;CODIGO_EXT_ORIGEN;ORIGEN;ID_ZONA;ZONA;CODIGO_GESTION;GESTION;ID_UNIDAD_OPERATIVA;UNIDAD_OPERATIVA;ID_PROCEDENCIA;PROCEDENCIA;ID_INTERVENCION;INTERVENCION;NUMERO_ACTA;SECUENCIA_ACTA;CODIGO_ESTADO;ESTADO_MADERA;EQUIPO;PAGO;COD_CALIBRADOR;NOMBRE_RECEPTOR;TIPO_INGRESO;AGNO_PLANTACION;FECHA_CORTE;COD_SISCOP_FSC;DES_FSC;ID_FSC;DESCRIP_FSC;COD_SISCOP_CERTFOR;DES_CERTFOR;ID_CERTFOR;DESCRIP_CERTFOR;SISCOP_PRODUCTO;ID_ESPECIE;DESC_ESPECIE;DESCRIP_PROD;LARGO_REAL;LARGO_NOMINAL;CODIGO_PRODUCTO;ID_UNIDAD;DESC_UNIDAD;VOLUMEN_RECB;VOLUMEN_M3_SSC;COD_EXT_DESTINO;DESTINO;COMPLETA;ZONA_FORESTAL_PREDIO;ZONA_FORESTAL_MOVIL;ZONA_COSECHA
2026-05-31T00:00:04;829790;2026-05-31T00:00:04;2026-05-31T00:00:04;829790;77224300-6;6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;30442;CUNAMO;22;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;12;COSECHA;2078144;1;01;Fresca;NEG1;S;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;T;1995;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;EUNI;EUNI - 3 - Pulpa Variable S/Corteza(PLVA);3;3;E0300UNSPLVA;1;MR;25.549;33.622;S010;CP VALDIVIA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:00:04;829790;2026-05-31T00:00:04;2026-05-31T00:00:04;829790;77224300-6;6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;30442;CUNAMO;22;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;12;COSECHA;2078144;1;01;Fresca;NEG1;S;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;T;1995;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;EUNI;EUNI - 3,5 - Pulpa Sobre Diametro S/Corteza(PLSD);3,5;3.5;E0350UNSPLSD;1;MR;28.381;47.964;S010;CP VALDIVIA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:00:04;829790;2026-05-31T00:00:04;2026-05-31T00:00:04;829790;77224300-6;6;SOC. DE SERVICIOS FORESTALES NYLYUMAR LTDA.;30442;CUNAMO;22;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;12;COSECHA;2078144;1;01;Fresca;NEG1;S;77224300-6;NYLYUMAR LTDA. SOC. DE SERV. FORESTALES;T;1995;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;EUNI;EUNI - 6 - Pulpa S/Corteza(15MA);6;6;E0600UNS15MA;1;MR;363.202;627.976;S010;CP VALDIVIA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:01:17;829792;2026-05-31T00:01:17;2026-05-31T00:01:17;829792;96567940-5;5;FORESTAL ARAUCO;20566;NOTROS LOS;16;FASA Zona Arauco;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2076358;1;01;Fresca;CIMA46;;96567940-5;CIMA FORESTAL;T;1977,2013;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;EUGL;EUGL - 5,5 - Pulpa(PLLF);5,5;5.5;E0550UGCPLLF;1;MR;58.904;86;C183;CP MAPA;SI;FASA Zona Arauco;FASA Zona Arauco;FASA Zona Arauco
2026-05-31T00:01:17;829792;2026-05-31T00:01:17;2026-05-31T00:01:17;829792;96567940-5;5;FORESTAL ARAUCO;20566;NOTROS LOS;16;FASA Zona Arauco;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2076358;1;01;Fresca;CIMA46;;96567940-5;CIMA FORESTAL;T;1977,2013;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 4 - Pulpa(PLLF);4;4;P0400URCPLLF;1;MR;22.697;34;C020;CP ARAUCO;SI;FASA Zona Arauco;FASA Zona Arauco;FASA Zona Arauco
2026-05-31T00:02:45;829793;2026-05-31T00:02:45;2026-05-31T00:02:45;829793;96567940-5;5;FORESTAL ARAUCO;30127;RINGAN CHICO;20;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2077744;1;01;Fresca;CIMA7;N;96567940-5;CIMA FORESTAL;T;1993;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 2,65 - Podado Semi/Des(CAL1);2,65;2.6;P0265PRZCAL1;3;MSS;59.823;59.823;N051;CN LOG NVA ALDEA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:02:45;829793;2026-05-31T00:02:45;2026-05-31T00:02:45;829793;96567940-5;5;FORESTAL ARAUCO;30127;RINGAN CHICO;20;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2077744;1;01;Fresca;CIMA7;N;96567940-5;CIMA FORESTAL;T;1993;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 2,65 - Regular Semi/Des(CAL1);2,65;2.6;P0265RRZCAL1;3;MSS;27.09;27.09;N051;CN LOG NVA ALDEA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:02:45;829793;2026-05-31T00:02:45;2026-05-31T00:02:45;829793;96567940-5;5;FORESTAL ARAUCO;30127;RINGAN CHICO;20;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2077744;1;01;Fresca;CIMA7;N;96567940-5;CIMA FORESTAL;T;1993;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 3 - Pulpa Variable Semi/Des(PLVA);3;3;P0300URZPLVA;1;MR;3.765;4.77;N011;PTA NVA ALDEA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:02:45;829793;2026-05-31T00:02:45;2026-05-31T00:02:45;829793;96567940-5;5;FORESTAL ARAUCO;30127;RINGAN CHICO;20;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2077744;1;01;Fresca;CIMA7;N;96567940-5;CIMA FORESTAL;T;1993;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 4,1 - Regular Semi/Des(CAL1);4,1;4;P0410RRZCAL1;3;MSS;44.16;44.16;S012;CN VALDIVIA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
2026-05-31T00:02:45;829793;2026-05-31T00:02:45;2026-05-31T00:02:45;829793;96567940-5;5;FORESTAL ARAUCO;30127;RINGAN CHICO;20;FASA Zona Valdivia;PROB;PRODUCCION EN BOSQUE;5;COSECHA;2;Produccion;24;COSECHA;2077744;1;01;Fresca;CIMA7;N;96567940-5;CIMA FORESTAL;T;1993;2026-05-30T16:00:00;1;FSC;1;FSC 100%-SA-FM/COC-004173;2;CERTFOR;1;100% CERTIFICADO CERTFOR-CL21/819943415;0;0;PIRA;PIRA - 4,6 - Regular Semi/Des(CAL1);4,6;4.5;P0460RRZCAL1;3;MSS;80.24;80.24;S012;CN VALDIVIA;SI;FASA Zona Valdivia;FASA Zona Valdivia;FASA Zona Valdivia
